state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-17,Parts per million,No Events,24,100.0,Y,0.420833,0.5,0,6.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-17,Parts per billion,No Events,23.0,96.0,Y,19.613043,35.2,1.0,33.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-17,Parts per million,No Events,23,96.0,Y,0.404348,0.7,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-17,Parts per billion,No Events,23.0,96.0,Y,19.613043,35.2,1.0,33.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-18,Parts per million,No Events,24,100.0,Y,0.320833,0.4,0,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-18,Parts per billion,No Events,23.0,96.0,Y,11.556522,22.9,4.0,21.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-18,Parts per million,No Events,23,96.0,Y,0.304348,0.4,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-18,Parts per billion,No Events,23.0,96.0,Y,11.556522,22.9,4.0,21.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-19,Parts per million,No Events,23,96.0,Y,0.365217,0.5,5,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-19,Parts per billion,No Events,23.0,96.0,Y,13.352174,20.6,20.0,19.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-19,Parts per million,No Events,24,100.0,Y,0.358333,0.4,6,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-19,Parts per billion,No Events,23.0,96.0,Y,13.352174,20.6,20.0,19.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-20,Parts per million,No Events,23,96.0,Y,0.395652,0.5,8,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-20,Parts per billion,No Events,23.0,96.0,Y,15.830435,30.1,20.0,28.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-20,Parts per million,No Events,24,100.0,Y,0.4,0.4,0,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-20,Parts per billion,No Events,23.0,96.0,Y,15.830435,30.1,20.0,28.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-21,Parts per million,No Events,23,96.0,Y,0.304348,0.4,10,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-21,Parts per billion,No Events,23.0,96.0,Y,10.047826,18.7,7.0,17.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-21,Parts per million,No Events,24,100.0,Y,0.3125,0.4,0,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-21,Parts per billion,No Events,23.0,96.0,Y,10.047826,18.7,7.0,17.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-22,Parts per million,No Events,23,96.0,Y,0.417391,0.7,19,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-22,Parts per billion,No Events,23.0,96.0,Y,19.704348,36.4,8.0,34.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-22,Parts per million,No Events,24,100.0,Y,0.383333,0.6,23,7.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-22,Parts per billion,No Events,23.0,96.0,Y,19.704348,36.4,8.0,34.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-23,Parts per million,No Events,22,92.0,Y,0.481818,0.6,0,7.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-23,Parts per billion,No Events,21.0,88.0,Y,20.833333,30.3,6.0,28.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-23,Parts per million,No Events,21,88.0,Y,0.461905,0.6,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-23,Parts per billion,No Events,21.0,88.0,Y,20.833333,30.3,6.0,28.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-24,Parts per million,No Events,24,100.0,Y,0.4875,0.6,9,7.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-24,Parts per billion,No Events,23.0,96.0,Y,13.430435,23.8,7.0,22.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-24,Parts per million,No Events,23,96.0,Y,0.447826,0.7,8,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-24,Parts per billion,No Events,23.0,96.0,Y,13.430435,23.8,7.0,22.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-25,Parts per million,No Events,23,96.0,Y,0.352174,0.5,9,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-25,Parts per billion,No Events,23.0,96.0,Y,7.973913,15.9,9.0,14.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-25,Parts per million,No Events,24,100.0,Y,0.3625,0.4,0,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-25,Parts per billion,No Events,23.0,96.0,Y,7.973913,15.9,9.0,14.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-26,Parts per million,No Events,23,96.0,Y,0.308696,0.4,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-26,Parts per billion,No Events,23.0,96.0,Y,4.243478,18.8,0.0,17.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-26,Parts per million,No Events,24,100.0,Y,0.3,0.3,0,3.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-26,Parts per billion,No Events,23.0,96.0,Y,4.243478,18.8,0.0,17.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-27,Parts per million,No Events,22,92.0,Y,0.272727,0.4,4,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-27,Parts per billion,No Events,22.0,92.0,Y,10.540909,29.1,6.0,27.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-27,Parts per million,No Events,24,100.0,Y,0.283333,0.4,8,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-27,Parts per billion,No Events,22.0,92.0,Y,10.540909,29.1,6.0,27.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-28,Parts per million,No Events,23,96.0,Y,0.282609,0.4,10,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-28,Parts per billion,No Events,23.0,96.0,Y,10.330435,21.5,11.0,20.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-28,Parts per million,No Events,24,100.0,Y,0.270833,0.3,7,3.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-28,Parts per billion,No Events,23.0,96.0,Y,10.330435,21.5,11.0,20.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-29,Parts per million,No Events,24,100.0,Y,0.3625,0.5,8,6.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-29,Parts per billion,No Events,23.0,96.0,Y,15.713043,32.4,7.0,30.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-29,Parts per million,No Events,23,96.0,Y,0.36087,0.8,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-29,Parts per billion,No Events,23.0,96.0,Y,15.713043,32.4,7.0,30.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-30,Parts per million,No Events,24,100.0,Y,0.333333,0.4,6,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-30,Parts per billion,No Events,23.0,96.0,Y,14.613043,24.6,0.0,23.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-30,Parts per million,No Events,23,96.0,Y,0.365217,0.6,22,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-30,Parts per billion,No Events,23.0,96.0,Y,14.613043,24.6,0.0,23.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-31,Parts per million,No Events,24,100.0,Y,0.504167,0.6,8,7.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-01-31,Parts per billion,No Events,23.0,96.0,Y,21.63913,31.8,19.0,29.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-31,Parts per million,No Events,23,96.0,Y,0.526087,0.8,22,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-01-31,Parts per billion,No Events,23.0,96.0,Y,21.63913,31.8,19.0,29.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-02-01,Parts per million,No Events,24,100.0,Y,0.433333,0.6,0,7.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-02-01,Parts per billion,No Events,23.0,96.0,Y,14.078261,24.8,7.0,23.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-02-01,Parts per million,No Events,23,96.0,Y,0.386957,0.5,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 1-hour 2010,2020-02-01,Parts per billion,No Events,23.0,96.0,Y,14.078261,24.8,7.0,23.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-02-02,Parts per million,No Events,23,96.0,Y,0.217391,0.4,2,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31,6.0,75.0,5.0,42602.0,1.0,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1.0,1 HOUR,NO2 Annual 1971,2020-02-02,Parts per billion,No Events,23.0,96.0,Y,4.482609,17.3,2.0,16.0,74.0,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860.0,"San Francisco-Oakland-Hayward, CA",2024-05-22
